scenario,policy,run,total_cost,stockouts,service_level,collapse_events,avg_backorders,avg_inventory,time_to_first_collapse
leadtime_shock_50,traditional,223,8278286955.359357,16384.0,0.3291788559275726,16361.0,33475.18496741173,25.499353916634046,1.0
leadtime_shock_50,traditional,224,8266829361.994477,16385.0,0.3287556417774894,16367.0,33442.00446056132,25.494176697479528,1.0
leadtime_shock_50,traditional,225,8241423862.00017,16385.0,0.331421747057574,16366.0,33343.12559562804,25.784480793277137,1.0
leadtime_shock_50,traditional,226,8263473498.357828,16386.0,0.33054661907791016,16364.0,33389.286544102804,25.677722271978382,1.0
leadtime_shock_50,traditional,227,8283293262.844889,16385.0,0.3293789802581551,16362.0,33508.582156532415,25.855066117621135,1.0
leadtime_shock_50,traditional,228,8272439581.080781,16388.0,0.33056029473154686,16364.0,33396.69535721045,25.5071654220036,1.0
leadtime_shock_50,traditional,229,8294219508.002293,16388.0,0.32890820073989935,16360.0,33557.62762794768,25.687555286669117,1.0
leadtime_shock_50,traditional,230,8284266507.512081,16384.0,0.3287893722268119,16365.0,33473.63882277913,26.50960310122486,1.0
leadtime_shock_50,traditional,231,8273669492.453272,16380.0,0.33000824203639867,16363.0,33480.587169675666,25.834927854836863,1.0
leadtime_shock_50,traditional,232,8269471651.592797,16385.0,0.330321612707371,16362.0,33447.54303422162,26.452293424998302,1.0
leadtime_shock_50,traditional,233,8303719646.401984,16385.0,0.32859566450615285,16363.0,33515.79863612639,26.54557480658129,1.0
leadtime_shock_50,traditional,234,8259289468.725652,16386.0,0.3302202253215314,16363.0,33427.41131627978,25.618111362266983,1.0
leadtime_shock_50,traditional,235,8255820485.729686,16388.0,0.3301237047385223,16367.0,33396.53287094135,25.606627592239057,1.0
